#time,accel_x,accel_y,accel_z
236.656040,666.185348,-10035.851024,-814.226536
236.656360,222.061783,-9882.631924,148.041188
236.656680,1332.370696,-10112.460574,-444.123565
236.657000,962.267725,-9959.241474,-370.102971
236.657320,1554.432478,-10189.070123,-296.082377
236.657640,1406.391290,-11644.651570,-296.082377
236.657960,444.123565,-10189.070123,-222.061783
236.658280,740.205942,-10189.070123,-74.020594
236.658600,74.020594,-9882.631924,-592.164754
236.658920,74.020594,-8427.050478,-296.082377
236.659240,0.000000,-10189.070123,-370.102971
236.659560,370.102971,-10189.070123,-666.185348
236.659880,296.082377,-10112.460574,-1184.329507
236.660200,814.226536,-10572.117872,-740.205942
236.660520,1110.308913,-10418.898773,-1480.411884
236.660840,666.185348,-10112.460574,-962.267725
236.661160,1702.473667,-10112.460574,-666.185348
236.661480,1480.411884,-9959.241474,-888.247130
236.661800,740.205942,-9039.926876,74.020594
236.662120,888.247130,-10112.460574,-296.082377
236.662440,370.102971,-10112.460574,-296.082377
236.662760,740.205942,-10265.679673,-222.061783
236.663080,962.267725,-11184.994271,0.000000
236.663400,296.082377,-9882.631924,-592.164754
236.663720,370.102971,-10418.898773,-814.226536
236.664040,0.000000,-9959.241474,-962.267725
236.664360,518.144159,-10418.898773,-740.205942
236.664680,888.247130,-10035.851024,-1258.350101
236.665000,518.144159,-10265.679673,-962.267725
236.665320,518.144159,-10648.727422,-1036.288319
236.665640,222.061783,-10035.851024,-1036.288319
236.665960,888.247130,-10418.898773,-740.205942
236.666280,1110.308913,-10265.679673,-592.164754
236.666600,1036.288319,-10342.289223,-518.144159
236.666920,1258.350101,-10418.898773,-222.061783
236.667240,2220.617826,-9652.803275,-592.164754
236.667560,740.205942,-10112.460574,0.000000
236.667880,1110.308913,-10495.508323,-74.020594
236.668200,592.164754,-10035.851024,-592.164754
236.668520,222.061783,-10801.946522,-592.164754
236.668840,-518.144159,-9729.412825,-740.205942
236.669160,222.061783,-10572.117872,-888.247130
236.669480,0.000000,-10189.070123,-1110.308913
236.669800,814.226536,-10035.851024,-740.205942
236.670120,740.205942,-10035.851024,-1184.329507
236.670440,740.205942,-10265.679673,-666.185348
236.670760,962.267725,-10342.289223,-740.205942
236.671080,666.185348,-10189.070123,-370.102971
236.671400,740.205942,-10112.460574,-740.205942
236.671720,666.185348,-10418.898773,-148.041188
236.672040,888.247130,-9882.631924,-444.123565
236.672360,1258.350101,-10189.070123,-296.082377
236.672680,1406.391290,-10112.460574,-222.061783
236.673000,962.267725,-10189.070123,-592.164754
236.673320,1036.288319,-10342.289223,-370.102971
236.673640,148.041188,-10112.460574,-666.185348
236.673960,296.082377,-9039.926876,-740.205942
236.674280,-296.082377,-9882.631924,-1036.288319
236.674600,74.020594,-10265.679673,-666.185348
236.674920,0.000000,-10112.460574,-1184.329507
236.675240,518.144159,-11108.384721,-592.164754
236.675560,444.123565,-10495.508323,-1184.329507
236.675880,740.205942,-10265.679673,-740.205942
236.676200,1850.514855,-10495.508323,-518.144159
236.676520,1332.370696,-9959.241474,-740.205942
236.676840,1332.370696,-10112.460574,-518.144159
236.677160,1258.350101,-10418.898773,-74.020594
236.677480,666.185348,-9882.631924,0.000000
236.677800,592.164754,-10265.679673,-148.041188
236.678120,1554.432478,-10035.851024,-1036.288319
236.678440,370.102971,-10265.679673,-148.041188
236.678760,-74.020594,-9806.022374,-888.247130
236.679080,0.000000,-10265.679673,-592.164754
236.679400,-592.164754,-9806.022374,-74.020594
236.679720,444.123565,-9882.631924,-1406.391290
236.680040,740.205942,-10418.898773,-962.267725
236.680360,518.144159,-9959.241474,-1184.329507
236.680680,592.164754,-10878.556072,-1110.308913
236.681000,1258.350101,-10112.460574,-888.247130
236.681320,1258.350101,-10189.070123,-370.102971
236.681640,1406.391290,-10265.679673,-518.144159
236.681960,962.267725,-9882.631924,-444.123565
236.682280,370.102971,-10495.508323,-74.020594
236.682600,518.144159,-10112.460574,-444.123565
236.682920,518.144159,-10265.679673,-222.061783
236.683240,518.144159,-10189.070123,-444.123565
236.683560,592.164754,-9729.412825,-592.164754
236.683880,370.102971,-10189.070123,-888.247130
236.684200,0.000000,-10035.851024,-814.226536
236.684520,444.123565,-10648.727422,-814.226536
236.684840,370.102971,-11414.822920,-740.205942
236.685160,370.102971,-10495.508323,-962.267725
236.685480,888.247130,-10495.508323,-962.267725
236.685800,888.247130,-9959.241474,-962.267725
236.686120,1406.391290,-10189.070123,-740.205942
236.686440,1480.411884,-10342.289223,-888.247130
236.686760,740.205942,-10189.070123,-148.041188
236.687080,962.267725,-10342.289223,-518.144159
236.687400,592.164754,-9959.241474,-370.102971
236.687720,148.041188,-10342.289223,0.000000
236.688040,518.144159,-9959.241474,0.000000
236.688360,814.226536,-10418.898773,-666.185348
236.688680,370.102971,-10035.851024,-444.123565
236.689000,814.226536,-9806.022374,-666.185348
